"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
129376,17,"English (American)","WS","Second","Black","Male",NA,"L575",TRUE,FALSE,"Marchman","Secondary","production",55,TRUE,"All Data",4867,"All Data (n = 4867)"
129377,16,"English (American)","WS","Third","Other","Female",NA,"L578",TRUE,FALSE,"Marchman","College","production",72,TRUE,"All Data",4867,"All Data (n = 4867)"
129378,16,"English (American)","WS","Third","Hispanic","Female",NA,"L583",TRUE,FALSE,"Marchman","Secondary","production",16,TRUE,"All Data",4867,"All Data (n = 4867)"
129379,29,"English (American)","WS","Second","Hispanic","Male",NA,"L586",TRUE,FALSE,"Marchman","Secondary","production",63,TRUE,"All Data",4867,"All Data (n = 4867)"
129380,20,"English (American)","WS","Sixth","White","Female",NA,"L587",TRUE,FALSE,"Marchman","Graduate","production",148,TRUE,"All Data",4867,"All Data (n = 4867)"
129381,21,"English (American)","WS","Fourth","Hispanic","Male",NA,"L589",TRUE,FALSE,"Marchman","Secondary","production",131,TRUE,"All Data",4867,"All Data (n = 4867)"
129382,22,"English (American)","WS","Second","White","Female",NA,"L590",TRUE,FALSE,"Marchman","Some College","production",52,TRUE,"All Data",4867,"All Data (n = 4867)"
129383,28,"English (American)","WS","Fourth","Hispanic","Female",NA,"L593",TRUE,FALSE,"Marchman","Secondary","production",370,TRUE,"All Data",4867,"All Data (n = 4867)"
129384,17,"English (American)","WS","Fourth","Other","Male",NA,"L596",TRUE,FALSE,"Marchman","Secondary","production",226,TRUE,"All Data",4867,"All Data (n = 4867)"
129385,26,"English (American)","WS","Third","Asian","Male",NA,"L612",TRUE,FALSE,"Marchman","Secondary","production",456,TRUE,"All Data",4867,"All Data (n = 4867)"
129386,17,"English (American)","WS","Fourth","Hispanic","Male",NA,"L613",TRUE,FALSE,"Marchman","Some College","production",22,TRUE,"All Data",4867,"All Data (n = 4867)"
129387,16,"English (American)","WS","Third","Other","Male",NA,"L714",TRUE,FALSE,"Marchman","Secondary","production",36,TRUE,"All Data",4867,"All Data (n = 4867)"
